plot,trt,pct_t,mos,rate_T,X,harv_date,days,pct_start,pct..from.R.,RANDBETWEEN.94108.105892..100000,col_D.JxK.
104,A,71,0,0,NA,15-May-22,0,71,71,NA,NA
104,A,71,0,0,NA,15-May-22,0,71,71,NA,NA
204,A,71,0,0,NA,15-May-22,0,71,71,NA,NA
204,A,71,0,0,NA,15-May-22,0,71,71,NA,NA
304,A,71,0,0,NA,15-May-22,0,71,71,NA,NA
304,A,71,0,0,NA,15-May-22,0,71,71,NA,NA
404,A,71,0,0,NA,15-May-22,0,71,71,NA,NA
404,A,71,0,0,NA,15-May-22,0,71,71,NA,NA
104,A,52.483,7.950849295,0.038007332,NA,15-May-22,242,71,50,1.03526,51.763
104,A,46.77686,10.71064822,0.03896041,NA,8-Aug-22,326,71,44.2,0.94802,41.902484
404,A,51.704,7.950849295,0.039888158,NA,15-May-22,242,71,50,0.95234,47.617
404,A,31.101672,19.94283274,0.04138922,NA,15-May-23,607,71,29.4,1.05869,31.125486
404,A,45.369532,10.71064822,0.041812511,NA,8-Aug-22,326,71,44.2,1.02141,45.146322
204,A,50.903,7.950849295,0.041851883,NA,15-May-22,242,71,50,0.97182,48.591
404,A,45.338592,10.71064822,0.041876204,NA,8-Aug-22,326,71,44.2,1.02072,45.115824
104,A,30.733878,19.94283274,0.041985726,NA,15-May-23,607,71,29.4,1.05148,30.913512
404,A,30.673902,19.94283274,0.042083675,NA,15-May-23,607,71,29.4,1.01696,29.898624
204,A,18.296653,31.93481618,0.042460295,NA,15-May-24,972,71,17.3,0.94539,16.355247
304,A,45.034938,10.71064822,0.042503617,NA,8-Aug-22,326,71,44.2,1.03834,45.894628
404,A,18.108948,31.93481618,0.042783202,NA,15-May-24,972,71,17.3,1.0527,18.21171
204,A,18.057048,31.93481618,0.042873076,NA,15-May-24,972,71,17.3,0.97844,16.927012
304,A,50.3655,7.950849295,0.043187017,NA,15-May-22,242,71,50,1.00609,50.3045
104,A,17.790974,31.93481618,0.043337924,NA,15-May-24,972,71,17.3,1.00272,17.347056
304,A,17.765024,31.93481618,0.043383631,NA,15-May-24,972,71,17.3,1.03707,17.941311
404,A,17.65292,31.93481618,0.043581859,NA,15-May-24,972,71,17.3,0.98442,17.030466
104,A,29.654016,19.94283274,0.043779253,NA,15-May-23,607,71,29.4,1.03319,30.375786
304,A,29.579046,19.94283274,0.043906183,NA,15-May-23,607,71,29.4,0.98504,28.960176
204,A,26.16666,22.70263167,0.043968198,NA,8-Aug-23,691,71,26,1.01832,26.47632
104,A,17.162465,31.93481618,0.044464172,NA,15-May-24,972,71,17.3,0.98301,17.006073
304,A,25.78966,22.70263167,0.044607438,NA,8-Aug-23,691,71,26,1.05368,27.39568
104,A,25.68748,22.70263167,0.044782304,NA,8-Aug-23,691,71,26,0.94459,24.55934
304,A,25.46908,22.70263167,0.045158408,NA,8-Aug-23,691,71,26,1.04926,27.28076
404,A,25.39602,22.70263167,0.045284944,NA,8-Aug-23,691,71,26,1.05262,27.36812
104,A,49.522,7.950849295,0.045311243,NA,15-May-22,242,71,50,0.95174,47.587
304,A,16.552467,31.93481618,0.045597404,NA,15-May-24,972,71,17.3,0.94133,16.285009
204,A,28.386288,19.94283274,0.045970082,NA,15-May-23,607,71,29.4,1.0199,29.98506
104,A,24.95116,22.70263167,0.046063363,NA,8-Aug-23,691,71,26,1.05769,27.49994
404,A,24.94284,22.70263167,0.046078053,NA,8-Aug-23,691,71,26,1.01088,26.28288
304,A,28.253988,19.94283274,0.046204332,NA,15-May-23,607,71,29.4,1.02438,30.116772
304,A,49.124,7.950849295,0.046326141,NA,15-May-22,242,71,50,0.99074,49.537
204,A,24.8027,22.70263167,0.046326231,NA,8-Aug-23,691,71,26,0.99393,25.84218
204,A,28.104342,19.94283274,0.04647062,NA,15-May-23,607,71,29.4,0.94841,27.883254
404,A,48.234,7.950849295,0.048625712,NA,15-May-22,242,71,50,1.05527,52.7635
304,A,42.08061,10.71064822,0.048838577,NA,8-Aug-22,326,71,44.2,0.95037,42.006354
204,A,42.05409,10.71064822,0.048897435,NA,8-Aug-22,326,71,44.2,1.02683,45.385886
104,A,42.000166,10.71064822,0.04901723,NA,8-Aug-22,326,71,44.2,0.98994,43.755348
204,A,41.967016,10.71064822,0.04909095,NA,8-Aug-22,326,71,44.2,1.05708,46.722936
204,A,47.186,7.950849295,0.051388553,NA,15-May-22,242,71,50,0.99544,49.772
