plot,trt,pct_t,mos,rate_T,harv_date,days,pct_start,pct..from.R.,RANDBETWEEN.94108.105892..100000,col_D.JxK.
104,AO,71,0,0,15-May-22,0,71,71,NA,NA
104,AO,71,0,0,15-May-22,0,71,71,NA,NA
204,AO,71,0,0,15-May-22,0,71,71,NA,NA
204,AO,71,0,0,15-May-22,0,71,71,NA,NA
304,AO,71,0,0,15-May-22,0,71,71,NA,NA
304,AO,71,0,0,15-May-22,0,71,71,NA,NA
404,AO,71,0,0,15-May-22,0,71,71,NA,NA
404,AO,71,0,0,15-May-22,0,71,71,NA,NA
304,AO,50.305059,7.950849295,0.04333804,15-May-22,242,71,37.7,0.9697,36.55769
104,AO,49.687149,7.950849295,0.044892506,15-May-22,242,71,37.7,1.02612,38.684724
304,AO,43.602354,10.71064822,0.04552187,8-Aug-22,326,71,30.27,1.01495,30.7225365
204,AO,43.429299,10.71064822,0.045893167,8-Aug-22,326,71,30.27,1.00189,30.3272103
404,AO,49.138215,7.950849295,0.046289751,15-May-22,242,71,37.7,0.99596,37.547692
104,AO,43.191609,10.71064822,0.046405561,8-Aug-22,326,71,30.27,1.02329,30.9749883
404,AO,43.020222,10.71064822,0.046776776,8-Aug-22,326,71,30.27,0.98066,29.6845782
204,AO,24.34205,22.70263167,0.047152004,8-Aug-23,691,71,11.65,1.00839,11.7477435
404,AO,24.26155,22.70263167,0.047297912,8-Aug-23,691,71,11.65,0.99396,11.579634
304,AO,27.544704,19.94283274,0.047479192,15-May-23,607,71,14.52,1.02777,14.9232204
404,AO,27.509328,19.94283274,0.047543633,15-May-23,607,71,14.52,1.04795,15.216234
204,AO,15.314232,31.93481618,0.048032131,15-May-24,972,71,5.59,0.95412,5.3335308
404,AO,23.63917,22.70263167,0.048442613,8-Aug-23,691,71,11.65,0.97944,11.410476
204,AO,23.58903,22.70263167,0.04853614,8-Aug-23,691,71,11.65,0.94637,11.0252105
104,AO,26.929584,19.94283274,0.048611671,15-May-23,607,71,14.52,0.96775,14.05173
304,AO,23.50324,22.70263167,0.048696627,8-Aug-23,691,71,11.65,1.00507,11.7090655
404,AO,26.858568,19.94283274,0.048744078,15-May-23,607,71,14.52,0.97814,14.2025928
104,AO,23.45931,22.70263167,0.048779034,8-Aug-23,691,71,11.65,1.00911,11.7561315
104,AO,48.100701,7.950849295,0.048973778,15-May-22,242,71,37.7,0.9684,36.50868
304,AO,14.8263,31.93481618,0.049046071,15-May-24,972,71,5.59,0.96787,5.4103933
304,AO,14.794326,31.93481618,0.049113674,15-May-24,972,71,5.59,1.03879,5.8068361
304,AO,26.61252,19.94283274,0.049205552,15-May-23,607,71,14.52,0.99118,14.3919336
404,AO,14.677818,31.93481618,0.049361252,15-May-24,972,71,5.59,0.95416,5.3337544
204,AO,41.777979,10.71064822,0.049512456,8-Aug-22,326,71,30.27,0.98855,29.9234085
204,AO,14.499698,31.93481618,0.049743579,15-May-24,972,71,5.59,0.97264,5.4370576
104,AO,41.627025,10.71064822,0.049850417,8-Aug-22,326,71,30.27,0.94644,28.6487388
404,AO,14.447868,31.93481618,0.049855713,15-May-24,972,71,5.59,0.95557,5.3416363
204,AO,26.044656,19.94283274,0.050287102,15-May-23,607,71,14.52,1.01246,14.7009192
104,AO,26.024064,19.94283274,0.050326764,15-May-23,607,71,14.52,1.03974,15.0970248
104,AO,14.192806,31.93481618,0.050413463,15-May-24,972,71,5.59,1.01852,5.6935268
104,AO,22.60417,22.70263167,0.050414661,8-Aug-23,691,71,11.65,0.94618,11.022997
304,AO,47.489976,7.950849295,0.050580913,15-May-22,242,71,37.7,0.97968,36.933936
104,AO,14.04666,31.93481618,0.050737578,15-May-24,972,71,5.59,0.94842,5.3016678
204,AO,25.736304,19.94283274,0.05088431,15-May-23,607,71,14.52,0.9644,14.003088
204,AO,47.048817,7.950849295,0.051754742,15-May-22,242,71,37.7,1.01313,38.195001
304,AO,40.74924,10.71064822,0.051840251,8-Aug-22,326,71,30.27,0.9735,29.467845
304,AO,21.77433,22.70263167,0.052062164,8-Aug-23,691,71,11.65,0.94279,10.9835035
204,AO,46.437613,7.950849295,0.053399342,15-May-22,242,71,37.7,0.9492,35.78484
404,AO,39.282651,10.71064822,0.055262473,8-Aug-22,326,71,30.27,0.9638,29.174226
404,AO,45.124195,7.950849295,0.05700791,15-May-22,242,71,37.7,1.05427,39.745979
